13.60, 13.80, 0.10, 4.06
13.80, 14.00, 0.10, 4.11
14.00, 14.20, 0.10, 4.11
14.20, 14.40, 0.08, 3.27
14.40, 14.60, 0.00, 0.00
14.60, 14.80, 0.00, 0.00
14.80, 15.00, 0.06, 2.31
15.00, 15.20, 0.35, 14.8
15.20, 15.40, 0.10, 4.00
15.40, 15.60, 0.10, 4.11
15.60, 15.80, 0.10, 4.11
15.80, 16.00, 0.10, 4.06
16.00, 16.20, 0.10, 4.11
16.20, 16.40, 0.10, 4.06
16.40, 16.60, 0.10, 4.11
16.60, 16.80, 0.10, 4.06
16.80, 17.00, 0.10, 4.06
17.00, 17.20, 0.10, 4.06
17.20, 17.40, 0.10, 4.11
17.40, 17.60, 0.10, 4.11
17.60, 17.80, 0.10, 4.06
17.80, 18.00, 0.10, 4.06
18.00, 18.20, 0.10, 4.00
18.20, 18.40, 0.10, 4.11
18.40, 18.60, 0.10, 4.11
18.60, 18.80, 0.10, 4.06
18.80, 19.00, 0.10, 4.11
19.00, 19.20, 0.10, 4.06
19.20, 19.40, 0.10, 4.11
19.40, 19.60, 0.10, 4.06
19.60, 19.80, 0.10, 4.11
19.80, 20.00, 0.10, 4.06
20.00, 20.20, 0.10, 4.06
20.20, 20.40, 0.10, 4.11
20.40, 20.60, 0.10, 4.06
20.60, 20.80, 0.10, 4.06
20.80, 21.00, 0.10, 4.17
21.00, 21.20, 0.10, 4.00
21.20, 21.40, 0.10, 4.11
21.40, 21.60, 0.10, 4.11
21.60, 21.80, 0.10, 4.00
21.80, 22.00, 0.10, 4.17
22.00, 22.20, 0.10, 4.06
22.20, 22.40, 0.10, 4.06
22.40, 22.60, 0.10, 4.06
22.60, 22.80, 0.10, 4.11
22.80, 23.00, 0.10, 4.11
23.00, 23.20, 0.10, 4.00
23.20, 23.40, 0.10, 4.11
23.40, 23.60, 0.10, 4.06
23.60, 23.80, 0.10, 4.11
23.80, 24.00, 0.10, 4.11
24.00, 24.20, 0.06, 2.31
24.20, 24.40, 0.00, 0.00
24.40, 24.60, 0.00, 0.00
24.60, 24.80, 0.09, 3.94
24.80, 25.00, 0.34, 14.1
25.00, 25.20, 0.10, 4.06
25.20, 25.40, 0.10, 4.06
25.40, 25.60, 0.10, 4.06
25.60, 25.80, 0.10, 4.11
25.80, 26.00, 0.10, 4.06
26.00, 26.20, 0.10, 4.11
26.20, 26.40, 0.10, 4.11
26.40, 26.60, 0.10, 4.00
26.60, 26.80, 0.10, 4.11
26.80, 27.00, 0.10, 4.11
27.00, 27.20, 0.10, 4.00
27.20, 27.40, 0.10, 4.11
